image_path,target,oof_fold
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0066_p01_01.png,77H61141,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0107_p01_01.png,59X104874,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0298_p03_03.png,52T37354,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0371_p01_01.png,89H90830,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0442_p01_01.png,37E154365,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0194_p01_01.png,76D152782,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0199_p01_01.png,36B847853,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0218_p01_01.png,71K69522,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0222_p02_02.png,55X25790,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0242_p02_02.png,60T94643,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0260_p01_01.png,59X137842,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0262_p01_01.png,60B638562,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0298_p02_02.png,70F134111,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0337_p01_01.png,92G117953,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0427_p01_01.png,30F07555,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0645_p01_01.png,30E75531,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0790_p01_01.png,30E43502,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0011_p01_01.png,52Y6490,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0014_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0015_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0018_p01_01.png,51F68784,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0020_p01_01.png,30N4616,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0021_p01_01.png,48A02866,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0023_p01_01.png,51G22807,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0028_p01_01.png,51F73420,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0029_p01_01.png,51F73420,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0031_p01_01.png,47A06546,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0038_p01_01.png,52Y6490,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0039_p01_01.png,52Y6490,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0043_p01_01.png,1G49524,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0046_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0048_p01_01.png,51F68784,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0049_p01_01.png,51F68784,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0052_p01_01.png,48A02866,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0053_p01_01.png,48A02866,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0062_p01_01.png,51A05227,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0070_p01_01.png,51G39466,3
