stage,epoch,loss,first_margin,revise_margin,disagreement_margin,final_teacher_gain_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,1,0.01178552533706857,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,2,0.010302843832566093,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,3,0.008160102999924371,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,4,0.007136918456914524,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,5,0.006528504675305966,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0018975332068311196
ppo,6,0.006570526896717234,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,7,0.007007364632510063,0.0,0.0,0.1,0.0,527,0.8216318785578748,0.9529953917050691,8,3,5,0.002,0.7703984819734345,0.0
ppo,8,0.005355587633999272,0.0,0.05,0.1,0.02,527,0.8235294117647058,0.9532258064516129,9,3,6,0.002584440227703985,0.681214421252372,0.0
ppo,9,0.0032892786042734248,0.0,0.05,0.1,0.02,527,0.8235294117647058,0.9529953917050691,9,3,6,0.003037950664136622,0.6110056925996205,0.0
ppo,10,0.0019927080898784876,0.0,0.0,0.0,0.02,527,0.825426944971537,0.9536866359447005,10,3,7,0.004379506641366223,0.48007590132827327,0.0056925996204933585
ppo,11,0.0035174789958088938,0.0,0.0,0.1,0.02,527,0.825426944971537,0.9536866359447005,10,3,7,0.003345351043643264,0.5654648956356736,0.003795066413662239
ppo,12,0.002105520896949485,0.05,0.0,0.0,0.0,527,0.8273244781783681,0.9541474654377881,12,4,8,0.005711574952561671,0.24478178368121442,0.003795066413662239
ppo,13,0.0031670371307151728,0.0,0.0,0.1,0.0,527,0.825426944971537,0.9539170506912442,11,4,7,0.005058823529411766,0.2998102466793169,0.0018975332068311196
ppo,14,0.0015511859597668784,0.0,0.0,0.1,0.0,527,0.825426944971537,0.9534562211981567,11,4,7,0.004998102466793168,0.29791271347248577,0.0056925996204933585
