stage,epoch,loss,first_margin,revise_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc,1,3.2832577228546143,,,,,,,,,,,
bc,2,3.195288224653764,,,,,,,,,,,
bc,3,3.103586890480735,,,,,,,,,,,
bc,4,3.0267325314608486,,,,,,,,,,,
bc,5,2.918590849096125,,,,,,,,,,,
bc,6,2.819572015242143,,,,,,,,,,,
bc,7,2.7463466687635942,,,,,,,,,,,
bc,8,2.6412719596516,,,,,,,,,,,
bc,9,2.5222938277504663,,,,,,,,,,,
bc,10,2.416178833354603,,,,,,,,,,,
bc,11,2.3184006864374336,,,,,,,,,,,
bc,12,2.2127935236150567,,,,,,,,,,,
bc_locked,0,2.2127935236150567,0.0,0.0,397.0,0.9269521410579346,0.9865237366003062,0.0,0.0,0.0,0.0,1.0,0.0
ppo,1,0.0024682942570911515,0.0,0.0,397.0,0.9269521410579346,0.9865237366003062,0.0,0.0,0.0,0.0,1.0,0.0
ppo,2,0.000976091710689627,0.01,0.0,397.0,0.9269521410579346,0.9865237366003062,0.0,0.0,0.0,0.0,1.0,0.0
ppo,3,0.0009082870868345102,0.0,0.0,397.0,0.9269521410579346,0.9856049004594181,0.0,0.0,0.0,1.0075566750629723e-05,0.9949622166246851,0.0
ppo,4,0.0029106814846662538,0.0,0.0,397.0,0.9269521410579346,0.9856049004594181,0.0,0.0,0.0,1.0075566750629723e-05,0.9949622166246851,0.0
ppo,5,-0.001359273579769901,0.0,0.0,397.0,0.9269521410579346,0.9856049004594181,0.0,0.0,0.0,1.0075566750629723e-05,0.9949622166246851,0.0
ppo,6,0.0041292240179475696,0.0,0.0,397.0,0.929471032745592,0.9859111791730475,1.0,0.0,1.0,3.778337531486146e-05,0.9899244332493703,0.0025188916876574307
ppo,7,-0.00033881191442581426,0.01,0.0,397.0,0.929471032745592,0.9871362940275651,1.0,0.0,1.0,8.564231738035263e-05,0.9748110831234257,0.005037783375314861
ppo,8,0.0011339336205487963,0.05,0.0,397.0,0.929471032745592,0.9874425727411945,1.0,0.0,1.0,0.0001234256926952141,0.964735516372796,0.0025188916876574307
ppo,9,-5.769623100928876e-05,0.1,0.0,397.0,0.929471032745592,0.9874425727411945,1.0,0.0,1.0,0.0001309823677581864,0.9521410579345088,0.005037783375314861
ppo,10,-2.5450835411233462e-05,0.2,0.05,397.0,0.929471032745592,0.9874425727411945,1.0,0.0,1.0,0.000163727959697733,0.9445843828715366,0.0025188916876574307
ppo,11,0.00014768944967580937,0.05,0.0,397.0,0.9319899244332494,0.9862174578866769,3.0,1.0,2.0,0.00043324937027707807,0.818639798488665,0.015113350125944584
ppo,12,-0.0025204614218738344,0.1,0.0,397.0,0.929471032745592,0.9859111791730475,2.0,1.0,1.0,0.0004659949622166247,0.7934508816120907,0.012594458438287154
ppo,13,-0.001624497769657394,0.1,0.01,397.0,0.929471032745592,0.9859111791730475,2.0,1.0,1.0,0.0005163727959697734,0.7506297229219143,0.007556675062972292
ppo,14,0.007052836499901282,0.05,0.0,397.0,0.929471032745592,0.9859111791730475,2.0,1.0,1.0,0.0005944584382871537,0.7027707808564232,0.007556675062972292
ppo,15,-0.0021466959813802406,0.1,0.1,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.0005667506297229219,0.743073047858942,0.0025188916876574307
ppo,16,-0.0006890460024534285,0.025,0.0,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.0006120906801007557,0.7204030226700252,0.017632241813602016
ppo,17,-0.001708859518898287,0.2,0.0,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.00046347607052896726,0.8035264483627204,0.022670025188916875
ppo,18,-0.001982747780523081,0.2,0.025,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.00044836272040302266,0.8110831234256927,0.022670025188916875
ppo,19,-0.0013180426857166592,0.2,0.01,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.00040554156171284636,0.8236775818639799,0.020151133501259445
ppo,20,-0.0027275560894936676,0.2,0.0,397.0,0.9269521410579346,0.9868300153139357,1.0,1.0,0.0,0.0003652392947103275,0.8438287153652393,0.0327455919395466
