image_path,target,oof_fold
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\blue\Dieu_0001_p01_01.png,51A4032,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0066_p01_01.png,77H61141,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0121_p02_02.png,59X164893,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0298_p03_03.png,52T37354,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0371_p01_01.png,89H90830,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0442_p01_01.png,37E154365,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0199_p01_01.png,36B847853,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0218_p01_01.png,71K69522,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0242_p02_02.png,60T94643,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0260_p01_01.png,59X137842,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0267_p03_03.png,74F98871,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0281_p01_01.png,77D119323,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0298_p02_02.png,70F134111,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0337_p01_01.png,92G117953,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0415_p01_01.png,36A04104,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0427_p01_01.png,30F07555,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0645_p01_01.png,30E75531,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0001_p01_01.png,51G10096,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0002_p01_01.png,51G10096,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0003_p01_01.png,51A65474,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0007_p01_01.png,51A64826,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0009_p01_01.png,51F86988,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0011_p01_01.png,52Y6490,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0014_p01_01.png,51F79512,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0015_p01_01.png,51F79512,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0018_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0024_p01_01.png,51G49539,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0026_p01_01.png,43A18650,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0028_p01_01.png,51F73420,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0029_p01_01.png,51F73420,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0031_p01_01.png,47A06546,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0033_p01_01.png,51F89357,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0034_p01_01.png,51A64826,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0036_p01_01.png,51F86988,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0037_p01_01.png,51F86988,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0038_p01_01.png,52Y6490,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0039_p01_01.png,52Y6490,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0043_p01_01.png,1G49524,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0046_p01_01.png,51F79512,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0048_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0049_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0054_p01_01.png,51G49539,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0064_p01_01.png,51G21670,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0066_p01_01.png,51A01204,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0068_p01_01.png,51F06948,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0071_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0072_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0076_p01_01.png,48A05177,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0080_p01_01.png,56S4698,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0082_p01_01.png,51F63034,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0083_p01_01.png,52Y6490,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0084_p01_01.png,52Y6490,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0085_p01_01.png,51F16159,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0088_p01_01.png,61A22959,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0098_p01_01.png,51G37307,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0103_p01_01.png,51G51332,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0104_p01_01.png,51G51332,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0107_p01_01.png,51F22261,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0108_p01_01.png,51F22261,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0116_p01_01.png,51F32488,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0129_p01_01.png,51F82606,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0130_p01_01.png,51F06532,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0133_p01_01.png,51A77529,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0144_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0145_p01_01.png,51F61712,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0146_p01_01.png,51F61712,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0147_p01_01.png,48A05177,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0149_p01_01.png,51F76354,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0154_p01_01.png,56S4698,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0155_p01_01.png,56S4698,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0156_p01_01.png,51F63034,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0157_p01_01.png,51F63034,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0158_p01_01.png,51A69172,3
