stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.0,0.0,0.1,397,0.9269521410579346,0.9859111791730475,1,1,0,0.00017632241813602016,0.9798488664987406,0.0
ppo,1,0.013694022215592365,0.2,0.0,0.0,397,0.929471032745592,0.9868300153139357,3,2,1,0.0032846347607052894,0.5692695214105793,0.0
ppo,2,0.01145992190965141,0.2,0.0,0.0,397,0.929471032745592,0.9868300153139357,3,2,1,0.0030957178841309824,0.5818639798488665,0.0
ppo,3,0.00790025906301,0.2,0.0,0.0,397,0.929471032745592,0.9868300153139357,3,2,1,0.0032468513853904286,0.5692695214105793,0.0
ppo,4,0.008535652034657283,0.2,0.0,0.0,397,0.929471032745592,0.9868300153139357,3,2,1,0.003216624685138539,0.5667506297229219,0.0
ppo,5,0.006644748820043686,0.2,0.0,0.0,397,0.929471032745592,0.9868300153139357,3,2,1,0.0032770780856423176,0.5617128463476071,0.0
ppo,6,0.006179461084927122,0.2,0.05,0.0,397,0.9269521410579346,0.9865237366003062,2,2,0,0.0033198992443324938,0.5591939546599496,0.0
ppo,7,0.0052573902428978015,0.2,0.0,0.0,397,0.9269521410579346,0.9865237366003062,2,2,0,0.003710327455919395,0.5239294710327456,0.0
ppo,8,0.004359793986400796,0.2,0.05,0.0,397,0.929471032745592,0.9862174578866769,3,2,1,0.0038740554156171283,0.5088161209068011,0.0
ppo,9,0.004272616075144874,0.2,0.05,0.0,397,0.929471032745592,0.9862174578866769,3,2,1,0.003967254408060454,0.48866498740554154,0.0
ppo,10,0.0049180515304518245,0.2,0.0,0.1,397,0.929471032745592,0.9880551301684533,3,2,1,0.002851385390428211,0.6196473551637279,0.0
ppo,11,0.0025681971934520538,0.2,0.05,0.2,397,0.9319899244332494,0.9886676875957121,3,1,2,0.0027052896725440804,0.6801007556675063,0.0
ppo,12,0.004281092173028024,0.2,0.05,0.2,397,0.9319899244332494,0.9886676875957121,3,1,2,0.0038715365239294706,0.5138539042821159,0.0
ppo,13,0.0006577142506654634,0.2,0.05,0.2,397,0.9319899244332494,0.9886676875957121,3,1,2,0.0048287153652392945,0.3879093198992443,0.0
ppo,14,-7.138952047976315e-05,0.2,0.05,0.2,397,0.9319899244332494,0.9886676875957121,3,1,2,0.00604785894206549,0.24937027707808565,0.0
ppo,15,-0.00015281290044916459,0.2,0.1,0.2,397,0.9319899244332494,0.9886676875957121,3,1,2,0.006526448362720402,0.20151133501259447,0.0
ppo,16,-0.0010680224952578055,0.2,0.1,0.2,397,0.9319899244332494,0.9883614088820827,3,1,2,0.0068287153652392945,0.17380352644836272,0.0
ppo,17,-0.0022796291840145658,0.2,0.1,0.2,397,0.9319899244332494,0.9883614088820827,3,1,2,0.007133501259445844,0.1486146095717884,0.0
ppo,18,-0.0026320229281920717,0.05,0.2,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.007496221662468512,0.10831234256926953,0.0
ppo,19,-0.003882244258579579,0.05,0.2,0.2,397,0.9345088161209067,0.9889739663093415,4,1,3,0.007460957178841309,0.11586901763224182,0.0
ppo,20,-0.0042636456652518995,0.1,0.2,0.2,397,0.9345088161209067,0.9889739663093415,4,1,3,0.007506297229219142,0.11586901763224182,0.0
ppo,21,-0.004560713810194792,0.2,0.2,0.2,397,0.9345088161209067,0.9889739663093415,4,1,3,0.007408060453400503,0.13602015113350127,0.0
ppo,22,-0.004437255805429539,0.2,0.0,0.2,397,0.9345088161209067,0.9892802450229708,4,1,3,0.0075617128463476065,0.1309823677581864,0.05793450881612091
ppo,23,-0.004270274782441353,0.2,0.05,0.2,397,0.9370277078085643,0.9895865237366003,5,1,4,0.007415617128463476,0.15113350125944586,0.04534005037783375
ppo,24,-0.00501781420481946,0.2,0.1,0.2,397,0.9370277078085643,0.9895865237366003,5,1,4,0.007118387909319898,0.18639798488664988,0.027707808564231738
