image_path,target,oof_fold
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\blue\Dieu_0001_p01_01.png,51A4032,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0066_p01_01.png,77H61141,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0107_p01_01.png,59X104874,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0121_p02_02.png,59X164893,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0298_p03_03.png,52T37354,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0371_p01_01.png,89H90830,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0442_p01_01.png,37E154365,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0194_p01_01.png,76D152782,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0199_p01_01.png,36B847853,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0218_p01_01.png,71K69522,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0222_p02_02.png,55X25790,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0262_p01_01.png,60B638562,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0267_p03_03.png,74F98871,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0298_p02_02.png,70F134111,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0337_p01_01.png,92G117953,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0415_p01_01.png,36A04104,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0645_p01_01.png,30E75531,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0790_p01_01.png,30E43502,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0003_p01_01.png,51A65474,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0007_p01_01.png,51A64826,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0013_p01_01.png,51A96141,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0014_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0015_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0016_p01_01.png,29A51796,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0017_p01_01.png,29A51796,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0018_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0021_p01_01.png,48A02866,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0023_p01_01.png,51G22807,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0024_p01_01.png,51G49539,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0026_p01_01.png,43A18650,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0028_p01_01.png,51F73420,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0029_p01_01.png,51F73420,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0031_p01_01.png,47A06546,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0033_p01_01.png,51F89357,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0034_p01_01.png,51A64826,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0043_p01_01.png,1G49524,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0045_p01_01.png,51A96141,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0046_p01_01.png,51F79512,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0048_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0049_p01_01.png,51F68784,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0052_p01_01.png,48A02866,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0053_p01_01.png,48A02866,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0054_p01_01.png,51G49539,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0062_p01_01.png,51A05227,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0064_p01_01.png,51G21670,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0066_p01_01.png,51A01204,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0068_p01_01.png,51F06948,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0071_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0072_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0076_p01_01.png,48A05177,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0078_p01_01.png,51F88270,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0079_p01_01.png,51F88270,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0080_p01_01.png,56S4698,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0085_p01_01.png,51F16159,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0088_p01_01.png,61A22959,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0089_p01_01.png,51G37675,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0090_p01_01.png,51A89714,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0091_p01_01.png,51A89714,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0093_p01_01.png,51A72110,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0094_p01_01.png,51A96141,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0095_p01_01.png,51F24403,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0096_p01_01.png,51F24403,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0098_p01_01.png,51G37307,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0099_p01_01.png,51G31691,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0102_p01_01.png,51G31691,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0103_p01_01.png,51G51332,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0104_p01_01.png,51G51332,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0107_p01_01.png,51F22261,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0108_p01_01.png,51F22261,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0117_p01_01.png,51G44313,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0122_p01_01.png,51F59881,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0123_p01_01.png,51F59881,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0125_p01_01.png,50LD04411,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0126_p01_01.png,50LD04411,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0129_p01_01.png,51F82606,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0130_p01_01.png,51F06532,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0133_p01_01.png,51A77529,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0135_p01_01.png,51A05227,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0136_p01_01.png,51A05227,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0138_p01_01.png,51F59881,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0144_p01_01.png,51F07973,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0145_p01_01.png,51F61712,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0146_p01_01.png,51F61712,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0147_p01_01.png,48A05177,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0149_p01_01.png,51F76354,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0151_p01_01.png,51F88270,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0153_p01_01.png,51F31118,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0154_p01_01.png,56S4698,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0155_p01_01.png,56S4698,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0158_p01_01.png,51A69172,4
