stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
bc_locked,0,0.0,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,1,0.012377402350668691,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0025188916876574307
ppo,2,0.010152308866640345,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,3,0.008716161115767642,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,4,0.007576328792816235,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,5,0.008933298561411599,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,6,0.005325578008260992,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,7,0.007390002456183235,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,8,0.005522474210657593,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,9,0.005339663731865585,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,10,0.004799823569030397,0.0,0.0,0.1,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0025188916876574307
ppo,11,0.004633330619738748,0.0,0.0,0.2,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,12,0.004455453132848359,0.2,0.0,0.1,397,0.929471032745592,0.9889739663093415,3,2,1,0.0005969773299748111,0.8992443324937027,0.0
ppo,13,0.0034359362222150798,0.0,0.0,0.2,397,0.9269521410579346,0.9862174578866769,1,1,0,0.00010831234256926952,0.9874055415617129,0.0
ppo,14,0.0032212355135319134,0.2,0.0,0.2,397,0.924433249370277,0.9877488514548239,3,4,-1,0.0009193954659949622,0.8387909319899244,0.005037783375314861
ppo,15,0.0017614333476457331,0.2,0.05,0.2,397,0.924433249370277,0.9877488514548239,3,4,-1,0.002080604534005038,0.6649874055415617,0.0
ppo,16,0.001969059379512651,0.0,0.1,0.2,397,0.9269521410579346,0.9880551301684533,5,5,0,0.0035239294710327457,0.4357682619647355,0.0
ppo,17,0.0009078780758298105,0.05,0.1,0.2,397,0.9269521410579346,0.9880551301684533,5,5,0,0.003916876574307305,0.37531486146095716,0.0
ppo,18,0.00027586834298239815,0.1,0.2,0.2,397,0.924433249370277,0.9862174578866769,5,6,-1,0.004083123425692696,0.3350125944584383,0.0
ppo,19,-0.0008428211608487699,0.05,0.2,0.2,397,0.924433249370277,0.9862174578866769,5,6,-1,0.0042241813602015114,0.3047858942065491,0.0
ppo,20,-0.0021793366720279056,0.05,0.2,0.2,397,0.924433249370277,0.9862174578866769,5,6,-1,0.0040856423173803525,0.3224181360201511,0.0
