image_path,target,oof_fold
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\blue\Dieu_0001_p01_01.png,51A4032,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0066_p01_01.png,77H61141,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0107_p01_01.png,59X104874,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0121_p02_02.png,59X164893,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0371_p01_01.png,89H90830,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Dieu_0442_p01_01.png,37E154365,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0199_p01_01.png,36B847853,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0218_p01_01.png,71K69522,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0242_p02_02.png,60T94643,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0260_p01_01.png,59X137842,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0262_p01_01.png,60B638562,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0281_p01_01.png,77D119323,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0298_p02_02.png,70F134111,3
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Hung_0337_p01_01.png,92G117953,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0415_p01_01.png,36A04104,1
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0427_p01_01.png,30F07555,2
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0645_p01_01.png,30E75531,0
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\Tgmt_0790_p01_01.png,30E43502,4
d:\NEO\LPR\parseq_official_pipeline\dataset\color_filtered\other\carlong_0001_p01_01.png,51G10096,4
