image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,policy_a_action,policy_b_action,policy_a_prediction,policy_b_prediction,prediction_agreement_change,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000001_general_004360.jpg,63B125356,baseline,baseline,63B125356,True,0,True,False,False,baseline,baseline,63B125356,63B125356,False,archive_plate_crops_from_coords,existing_plate_crop,96,87,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000002_general_008514.jpg,50LD09240,baseline,baseline,50LD09240,True,0,True,False,False,baseline,baseline,50LD09240,50LD09240,False,cropped,existing_plate_crop,46,24,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000003_general_003459.jpg,95X40913,baseline,baseline,53H44011,False,6,False,False,False,full_z0.93_up3_clahe_clip1_tile4,full_z1.00_up2_clahe_rl_deblur_bilateral,53N4011,4811,False,archive_plate_crops_from_coords,existing_plate_crop,82,54,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000004_general_008456.jpg,30G59970,baseline,baseline,30G15970,False,2,False,False,False,baseline,baseline,30G15970,30G15970,False,archive_plate_crops_from_coords,existing_plate_crop,111,126,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000005_general_003460.jpg,59N174884,baseline,baseline,59N174864,False,1,False,False,False,baseline,baseline,59N174864,59N174864,False,yolo_plate_dataset,crop_source_bounding_box,55,30,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000006_general_003102.jpg,59N174864,baseline,baseline,59N174864,True,0,True,False,False,baseline,baseline,59N174864,59N174864,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000007_general_012999.jpg,58M62545,baseline,baseline,36N67545,False,4,False,False,False,baseline,full_z1.15_up3_train_baseline,36N67545,36N67545,False,archive_plate_crops_from_coords,existing_plate_crop,57,51,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000008_general_008526.jpg,30E03786,baseline,baseline,30E63785,False,2,False,False,False,full_z1.15_up3_train_baseline,baseline,30E63785,30E63785,False,archive_plate_crops_from_coords,existing_plate_crop,226,151,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000009_general_001570.jpg,54F37071,baseline,baseline,54F37071,True,0,True,False,False,baseline,baseline,54F37071,54F37071,False,yolo_plate_dataset,crop_source_bounding_box,97,79,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000010_general_007283.jpg,62E130233,baseline,baseline,62E130233,True,0,True,False,False,baseline,baseline,62E130233,62E130233,False,archive_plate_crops_from_coords,existing_plate_crop,110,82,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000011_general_013502.jpg,30K90016,baseline,baseline,30K90016,True,0,True,False,False,baseline,baseline,30K90016,30K90016,False,cropped,existing_plate_crop,75,21,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000012_general_008121.jpg,89B100530,baseline,baseline,89H90830,False,4,False,False,False,baseline,baseline,89H90830,89H90830,False,archive_plate_crops_from_coords,existing_plate_crop,85,50,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000013_general_010394.jpg,5134827,baseline,baseline,51L34827,False,1,False,False,False,baseline,baseline,51L34827,51L34827,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000014_general_004782.jpg,901151F5,baseline,baseline,51F59011,False,7,False,False,False,baseline,baseline,51F59011,51F59011,False,yolo_plate_ocr_dataset,existing_plate_crop,780,165,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_9_primary_ppo\fresh_external_holdout\images\phase9_000015_general_005279.jpg,50E41399,baseline,baseline,51K41215,False,5,False,False,False,baseline,baseline,51K41215,51K41215,False,archive_plate_crops_from_coords,existing_plate_crop,48,31,min_side_lt32
